County,2020 Population
Anderson,77123
Bedford,50237
Benton,15864
Bledsoe,14913
Blount,135280
Bradley,108620
Campbell,39272
Cannon,14506
Carroll,28440
Carter,56356
Cheatham,41072
Chester,17341
Claiborne,32043
Clay,7581
Cocke,35999
Coffee,57889
Crockett,13911
Cumberland,61145
Davidson,715884
Decatur,11435
DeKalb,20080
Dickson,54315
Dyer,36801
Fayette,41990
Fentress,18489
Franklin,42774
Gibson,50429
Giles,30346
Grainger,23527
Greene,70152
Grundy,13529
Hamblen,64499
Hamilton,366207
Hancock,6662
Hardeman,25462
Hardin,26831
Hawkins,56721
Haywood,17864
Henderson,27842
Henry,32199
Hickman,24925
Houston,8283
Humphreys,18990
Jackson,11617
Jefferson,54683
Johnson,17948
Knox,478971
Lake,7005
Lauderdale,25143
Lawrence,44159
Lewis,12582
Lincoln,35319
Loudon,54886
Macon,25216
Madison,98823
Marion,28837
Marshall,34318
Maury,100974
McMinn,53276
McNairy,25866
Meigs,12758
Monroe,46250
Montgomery,220069
Moore,6461
Morgan,21035
Obion,30787
Overton,22511
Perry,8366
Pickett,5001
Polk,17544
Putnam,79854
Rhea,32870
Roane,53404
Robertson,72803
Rutherford,341486
Scott,21850
Sequatchie,15826
Sevier,98380
Shelby,929744
Smith,19904
Stewart,13657
Sullivan,158163
Sumner,196281
Tipton,60970
Trousdale,11615
Unicoi,17928
Union,19802
Van Buren,6168
Warren,40953
Washington,133001
Wayne,16232
Weakley,32902
White,27351
Williamson,247726
Wilson,147737
